"date","ET0","RAD","TMX","TMA","TMN","HMX","HMN","PRE","WIN"
2005-07-16,2.21,18.05,14.18,8.07,3.67,78.42,27.37,1.56,0.83
2005-07-23,1.7,9.73,11.52,6.58,3.14,82.71,39.53,3.84,0.79
2005-07-30,1.23,13.13,6.2,1.63,-2.64,81.11,44.34,3.44,1.01
2005-08-06,1.38,12.75,8.33,3.73,0.05,78.24,38.4,1.61,0.78
2005-08-13,1.71,13.93,10.84,5.46,1.66,85.87,35.09,2.63,1
2005-08-20,1.67,14.22,10.76,6.44,2.48,86.73,45.53,1.64,0.92
2005-08-27,1.33,11.13,8.26,4.04,0.45,76.47,39.97,1.96,1.18
2005-09-03,1.38,15.81,7.15,2.19,-1.98,80.38,33.18,0.9,1.02
2005-09-10,1.31,12.3,7.23,2.23,-1.38,82.65,41.91,2.84,0.99
2005-09-17,0.89,5.72,5.16,1.94,-0.53,87.27,58.57,3.36,0.77
2005-09-24,1.66,13.14,11.58,6.89,3.33,86.31,43.25,1.48,0.78
2005-10-01,1.6,12.78,9.75,5.35,1.26,89.24,52.12,3.45,0.82
2005-10-08,1.45,12.08,9.55,5.38,2.17,88.96,46.42,1.11,0.78
2005-10-15,1.34,8.29,6.93,2.87,-0.35,88.02,54.3,3.16,0.87
2005-10-22,1.53,10.59,9.52,5.13,1.47,88.32,46.13,3.41,0.84
2005-10-29,1.31,7.16,6.17,2.58,-0.46,90.69,64.73,4.55,0.6
2005-11-05,1.7,16.78,11.19,5.01,0.99,86.54,36.19,2.28,0.82
2005-11-12,1.67,14.5,10.93,6.17,2.24,85.62,41.26,1.9,0.83
2005-11-19,1.7,14.76,12.55,7.44,3.71,86.89,44.04,0.01,0.81
2005-11-26,1.75,14.39,12.79,7.59,3.41,79.92,33.37,0.19,0.71
2005-12-03,1.7,13.56,12.63,7.27,3.53,79.04,39.53,2.7,0.74
2005-12-10,1.6,14.37,9.22,3.81,-0.01,84.99,33.41,0.01,0.79
2005-12-17,1.49,13.62,3.78,-1.61,-6.36,75.26,28.84,1.68,1.35
2005-12-24,1.5,13.02,5.55,-0.12,-4.45,94.3,44.71,3.09,0.73
2005-12-31,1.54,12.18,7.08,2.03,-1.73,90.59,45.39,4.04,0.69
2006-01-07,1.68,13.43,11.42,5.55,1.03,90.47,37.35,2.65,1.48
2006-01-14,1.55,13.19,7.37,2.54,-1.77,77.81,30.72,2.17,1.29
2006-01-21,1.48,12.23,3.41,-0.46,-4.04,94.48,58.25,3.04,0.96
